customer_id,transaction_amount,transaction_card_type,transaction_ecommerce_website_name,transaction_country_name,transaction_datetime,transaction_date,transaction_id,transaction_city_name,transaction_product_name
CS5295,50.85,MasterCard,www.ebay.com,India,5/14/2019 15:24,05/14/2019,1,Mumbai,Laptop
CS4768,259.12,MasterCard,www.amazon.com,India,5/14/2019 15:24,05/14/2019,2,Pune,Wrist Band
CS2122,328.16,MasterCard,www.flipkart.com,United States,5/14/2019 15:24,05/14/2019,3,New York City,TV Stand
CS1217,399.06,Visa,www.snapdeal.com,Inida,5/14/2019 15:24,05/14/2019,4,New Delhi,TV Stand
CS1850,194.52,Visa,www.ebay.com,Italy,5/14/2019 15:24,05/14/2019,5,Rome,External Hard Drive
CS5539,415.65,Maestro,www.flipkart.com,India,5/14/2019 15:24,05/14/2019,6,Kolkata,TV
CS2724,467.12,MasterCard,www.amazon.com,India,5/14/2019 15:24,05/14/2019,7,Kolkata,Wrist Watch
CS5902,361.61,Visa,www.ebay.com,India,5/14/2019 15:24,05/14/2019,8,Kolkata,Laptop
CS6040,357.34,Maestro,www.amazon.com,India,5/14/2019 15:24,05/14/2019,9,Bangalore,Text Books
CS3802,495.91,Visa,www.snapdeal.com,India,5/14/2019 15:24,05/14/2019,10,Bangalore,Laptop
CS3494,546.01,Visa,www.snapdeal.com,India,5/14/2019 15:24,05/14/2019,11,Hyderabad,External Hard Drive
CS3780,384.41,MasterCard,www.snapdeal.com,India,5/14/2019 15:24,05/14/2019,12,Bangalore,LAN Cable
CS1171,144.32,MasterCard,www.snapdeal.com,Thailand,5/14/2019 15:24,05/14/2019,13,Bangkok,Wrist Band
CS2892,108.46,MasterCard,www.snapdeal.com,India,5/14/2019 15:24,05/14/2019,14,Kolkata,External Hard Drive
CS5552,356.26,Visa,www.ebay.com,India,5/14/2019 15:24,05/14/2019,15,Hyderabad,Mobile Phone
CS6043,142.84,Visa,www.flipkart.com,United Kingdom,5/14/2019 15:24,05/14/2019,16,London,Laptop
CS4147,425.12,Maestro,www.ebay.com,India,5/14/2019 15:24,05/14/2019,17,Kolkata,Pen Drive
CS4655,526.77,MasterCard,www.snapdeal.com,Singapore,5/14/2019 15:24,05/14/2019,18,Singapore,Text Books
CS3904,238.7,Maestro,www.amazon.com,India,5/14/2019 15:24,05/14/2019,19,Mumbai,Text Books
CS4102,409.09,Visa,www.flipkart.com,Italy,5/14/2019 15:24,05/14/2019,20,Rome,TV Stand
CS2086,73.31,MasterCard,www.ebay.com,India,5/14/2019 15:24,05/14/2019,21,Bangalore,Desktop Computer
CS6085,383.26,MasterCard,www.amazon.com,India,5/14/2019 15:24,05/14/2019,22,Pune,TV Stand
CS1328,126.14,Maestro,www.ebay.com,India,5/14/2019 15:24,05/14/2019,23,Bangalore,TV
CS4564,223.35,Maestro,www.flipkart.com,India,5/14/2019 15:24,05/14/2019,24,Hyderabad,TV Stand
CS5910,273.33,MasterCard,www.flipkart.com,Italy,5/14/2019 15:24,05/14/2019,25,Rome,Desktop Computer
CS2748,66.37,MasterCard,www.snapdeal.com,United States,5/14/2019 15:24,05/14/2019,26,New York City,TV Stand
CS5147,226.29,Maestro,www.flipkart.com,India,5/14/2019 15:24,05/14/2019,27,Kolkata,Laptop
CS1770,81.17,MasterCard,www.ebay.com,India,5/14/2019 15:24,05/14/2019,28,Kolkata,TV
CS3510,113.86,Visa,www.amazon.com,United States,5/14/2019 15:24,05/14/2019,29,New York City,Mobile Phone
CS2509,324.22,Visa,www.snapdeal.com,India,5/14/2019 15:24,05/14/2019,30,Hyderabad,External Hard Drive
CS2859,119.76,Maestro,www.flipkart.com,India,5/14/2019 15:24,05/14/2019,31,Mumbai,Wrist Watch
CS1512,103.16,Maestro,www.ebay.com,Thailand,5/14/2019 15:24,05/14/2019,32,Bangkok,HDMI Cable
CS4148,41.85,Maestro,www.snapdeal.com,India,5/14/2019 15:24,05/14/2019,33,Hyderabad,Pen Drive
CS1735,420.44,MasterCard,www.ebay.com,India,5/14/2019 15:24,05/14/2019,34,Kolkata,Mobile Phone
CS1588,105.67,MasterCard,www.flipkart.com,United States,5/14/2019 15:24,05/14/2019,35,New York City,LAN Cable
CS5514,167.72,Visa,www.amazon.com,India,5/14/2019 15:24,05/14/2019,36,Mumbai,Pen Drive
CS5933,98.71,Visa,www.snapdeal.com,France,5/14/2019 15:24,05/14/2019,37,Paris,TV
CS2797,422.85,Maestro,www.snapdeal.com,Israel,5/14/2019 15:24,05/14/2019,38,Jerusalem,Pen Drive
CS5313,516.49,MasterCard,www.ebay.com,India,5/14/2019 15:24,05/14/2019,39,Mumbai,Wrist Band
CS5966,300.83,Maestro,www.flipkart.com,India,5/14/2019 15:24,05/14/2019,40,Hyderabad,Wrist Band
CS5211,437.26,Maestro,www.ebay.com,India,5/14/2019 15:24,05/14/2019,41,Pune,HDMI Cable
CS1511,73.92,Visa,www.amazon.com,Italy,5/14/2019 15:24,05/14/2019,42,Rome,TV Stand
CS6087,522.51,MasterCard,www.flipkart.com,Singapore,5/14/2019 15:24,05/14/2019,43,Singapore,Mobile Phone
CS5909,462.37,Maestro,www.snapdeal.com,India,5/14/2019 15:24,05/14/2019,44,Bangalore,LAN Cable
CS2845,185.57,MasterCard,www.amazon.com,India,5/14/2019 15:24,05/14/2019,45,Mumbai,Wrist Band
CS1433,248.88,MasterCard,www.flipkart.com,France,5/14/2019 15:24,05/14/2019,46,Paris,Laptop
CS4897,488.52,Maestro,www.flipkart.com,India,5/14/2019 15:24,05/14/2019,47,Kolkata,Wrist Band
CS2296,220.48,Visa,www.snapdeal.com,India,5/14/2019 15:24,05/14/2019,48,Mumbai,Text Books
CS1494,553.36,MasterCard,www.amazon.com,India,5/14/2019 15:25,05/14/2019,49,Kolkata,Text Books
CS3688,265.77,Visa,www.snapdeal.com,Singapore,5/14/2019 15:25,05/14/2019,50,Singapore,Pen Drive
CS2287,530.51,MasterCard,www.ebay.com,United States,5/14/2019 15:25,05/14/2019,51,New York City,Desktop Computer
CS3779,490.54,Visa,www.amazon.com,India,5/14/2019 15:25,05/14/2019,52,Mumbai,HDMI Cable
CS1423,215.59,MasterCard,www.flipkart.com,India,5/14/2019 15:25,05/14/2019,53,Kolkata,TV
CS2501,102.84,Maestro,www.flipkart.com,India,5/14/2019 15:25,05/14/2019,54,Chennai,Wrist Band
CS3434,158.92,Maestro,www.snapdeal.com,France,5/14/2019 15:25,05/14/2019,55,Paris,TV Stand
CS2662,258.35,Visa,www.amazon.com,India,5/14/2019 15:25,05/14/2019,56,Mumbai,HDMI Cable
CS2209,498.95,Maestro,www.ebay.com,United States,5/14/2019 15:25,05/14/2019,57,New York City,Mobile Phone
CS4530,341.11,MasterCard,www.flipkart.com,United Kingdom,5/14/2019 15:25,05/14/2019,58,London,Mobile Phone
CS2848,427.66,Visa,www.ebay.com,United Kingdom,5/14/2019 15:25,05/14/2019,59,London,TV
CS2596,51.7,MasterCard,www.ebay.com,United States,5/14/2019 15:25,05/14/2019,60,New York City,TV
CS4421,374.22,Visa,www.amazon.com,Israel,5/14/2019 15:25,05/14/2019,61,Jerusalem,Text Books
CS4905,57.94,Maestro,www.snapdeal.com,United Kingdom,5/14/2019 15:25,05/14/2019,62,London,Wrist Band
CS5704,536.88,MasterCard,www.ebay.com,Thailand,5/14/2019 15:25,05/14/2019,63,Bangkok,LAN Cable
